Feature Index,Importance
3,0.46143936976847394
266,0.01438778466034341
700,0.011539808810177753
510,0.010467845653414212
5,0.009885007570971955
961,0.009742214740112765
0,0.009507665507433784
1,0.009172385704105685
518,0.009168653120637112
701,0.009112603882788234
2,0.009062207747083694
936,0.008610891309698122
177,0.008218591195377834
935,0.007896851614444733
623,0.006832988546302595
428,0.006123436634966495
494,0.006062802267873396
699,0.005979560478608512
775,0.005977766195144527
4,0.005950022506560914
381,0.00575409136198279
971,0.0049311051301019595
204,0.004644718116043767
309,0.004481371295496248
973,0.004357090827635429
503,0.004278176158488153
301,0.00412020678154745
456,0.004042085744354296
276,0.0038785070670870458
334,0.003815999414114691
260,0.0038154485254011665
335,0.003803924727722397
530,0.003535063061954108
509,0.00341732743768063
373,0.003375170968858264
687,0.0032011891924213958
795,0.003099637159946435
655,0.0030903311518495646
594,0.003084719710331374
106,0.0030808982162247784
129,0.0030383879886162818
470,0.003006352870545513
236,0.002977163434788954
723,0.0029616487567635037
799,0.002939734054403793
755,0.0028693228823069134
196,0.00284391595723962
543,0.0027223489283074555
452,0.002687949133139727
566,0.002586595968276113
116,0.002526019959882001
884,0.002439534784469415
887,0.0024247965586119036
720,0.002351775102685897
345,0.0023206554444038744
662,0.002292641602964693
259,0.002286651554682216
954,0.0022221793536564643
1002,0.0022198610714572304
537,0.002207930807021823
824,0.00215655269282276
512,0.0021298562721390416
126,0.002103616985799753
895,0.002042478649325725
488,0.002024631292681099
376,0.0020140611961335913
678,0.0020039739550772808
989,0.001993933091191418
533,0.0019679945190488792
751,0.0019487720398009129
142,0.001928909372248691
912,0.0019168271263280438
835,0.0018915084936920702
327,0.0018764169969643716
507,0.0018552303525061643
627,0.0018435989742695586
253,0.0017848628900198798
519,0.001781985486275599
235,0.0017807929118797145
747,0.0017714390000804728
722,0.0017703757323352667
1017,0.001748220096144707
821,0.0017474971467706783
93,0.001739548294090576
270,0.001737020424367081
178,0.00172984286110761
378,0.001722897821209943
6,0.0017079858509193363
137,0.0016067234164313126
144,0.0015980336589339788
579,0.0015945834974808693
267,0.0015937818308548546
10,0.0015837831996200606
125,0.0015797953466987166
103,0.001568046558698387
625,0.0015592718078380923
994,0.001496636385392724
412,0.0014550510099421699
749,0.0014543668518430608
785,0.0014502221261416734
220,0.001441270259622225
945,0.0014371422863815695
531,0.0014237734104443392
198,0.0014222143320208192
491,0.0014148915871789755
664,0.0014086379172332352
698,0.0013997815695425257
474,0.0013668363669590935
916,0.001354227912999341
587,0.0013512657121123345
17,0.0013384797036434539
725,0.001335638276904129
668,0.0013205490236925257
8,0.0013204409128153263
918,0.001304909637261184
88,0.0013028195414621837
560,0.001292962422541778
610,0.0012920148170599216
988,0.0012627223268242799
707,0.0012618000973870272
847,0.0012599989065024333
851,0.0012579882542843156
511,0.0012573508715011392
377,0.0012283959271891824
781,0.0012264642217712266
322,0.0012128815758911192
778,0.0012117163281578722
269,0.0012070573285993425
796,0.0012035878632322616
844,0.0011950622037708023
874,0.0011673895518425083
937,0.0011641831711928863
944,0.001156724913932337
424,0.001153992498725395
593,0.0011536382505437002
520,0.0011524739007034615
146,0.0011524306583494065
974,0.0011523462114399348
